Category	SubCategory	CatID	CatShort	Category_zh	SubCategory_zh	Synonyms_zh
AMBIENCE	RURAL	AMBRurl	AMB	环境	农村	农村、平原、草原、山、连绵起伏的丘陵、树林、草地、峡谷、断崖、灌木丛、高原、 戈壁
AMBIENCE	SCHOOL	AMBSchl	AMB	环境	校园	小学、初中、高中、学院、学前班、大学、课堂、大会、教室、 操场、 学校走廊、 放学、 食堂
AMBIENCE	SCIFI	AMBSci	AMB	环境	科幻	科技实验室、 宇宙飞船、 赛伯朋克、 蒸汽朋克
AMBIENCE	SEASIDE	AMBSea	AMB	环境	海边	海滩、海边、沿海、沙滩、海岸线、海滨、木板路、海滩度假村、海堤、码头、海港、 岸边
AMBIENCE	SPORT	AMBSprt	AMB	环境	运动场	NFI、 足球、 NBA、 篮球、 美国职业棒球大联盟、 棒球、 网球、 体育赛事、 小联盟、 训练、排球、冰球
AMBIENCE	SUBURBAN	AMBSubn	AMB	环境	郊区	郊区、住宅、邻里、死胡同、村庄、乡村、郊区
AMBIENCE	SWAMP	AMBSwmp	AMB	环境	沼泽地	青蛙、沼泽、湿地、河岸、湖边、湖、红树林、 湿地树木
AMBIENCE	TOWN	AMBTown	AMB	环境	小镇	镇、村、小村庄、小镇、社区、社区
AMBIENCE	TRAFFIC	AMBTraf	AMB	环境	交通	车道、 高速公路、 林荫大道、 公路、 马路
AMBIENCE	TRANSPORTATION	AMBTran	AMB	环境	交通工具	火车站、机场、汽车站、地铁站、终点站、车厂、火车、公交车站
AMBIENCE	TROPICAL	AMBTrop	AMB	环境	热带	丛林、灌木、热带雨林、云雾林、热带植物
AMBIENCE	TUNDRA	AMBTndra	AMB	环境	冻土	北极、南极、高原、极地、冰川、雪、冰原、 雪原、 暴风雪
AMBIENCE	UNDERGROUND	AMBUndr	AMB	环境	地下	洞穴、滴水、回声、下水道、地堡、隧道、地牢、熔岩管、地窖、地下、沉没、埋藏、地下室、竖井、矿井、通道、矿道
AMBIENCE	UNDERWATER	AMBUndwtr	AMB	环境	水下	水下、礁石、珊瑚、海沟、淹没、海底、水下、海底生物、 深海、 鱼类、 鲨鱼
AMBIENCE	URBAN	AMBUrbn	AMB	环境	城市	大都市、 密集的城市、 城市、 市中心、 内城、 大都会、 繁华、 高峰时间、 拥堵、 贫民窟、 金融区、 城区、 高楼、 街区、 人群
AMBIENCE	WARFARE	AMBWar	AMB	环境	战争	战争、战斗、小规模冲突、遭遇、攻击、进攻、闪电战、空袭、突袭、轰炸、弹幕、飞弹、闪电战、齐射、高射炮、战舰、大炮
ANIMALS	AMPHIBIAN	ANMLAmph	ANML	动物	两栖动物	青蛙、蟾蜍、牛蛙、蝾螈、黄花鱼
ANIMALS	AQUATIC	ANMLAqua	ANML	动物	水生动物	鲸鱼、 海豚、 鼠海豚、 海狮、 虎鲸、 逆戟鲸、 海牛、 海象、 海豹、 水獭、 海獭、 白鲸、 独角鲸、 儒艮、 鲨鱼、 黄貂鱼、 海蜇、 鱿鱼、 章鱼
ANIMALS	BAT	ANMLBat	ANML	动物	蝙蝠	狐蝠、吸血蝙蝠、果蝠
ANIMALS	CAT DOMESTIC	ANMLCat	ANML	动物	家猫	喵、呼噜声、小猫、大猫、猫科动物、胡同猫、 长毛猫、 短毛猫
ANIMALS	CAT WILD	ANMLWcat	ANML	动物	猫科动物	狮子、老虎、美洲狮、豹、美洲虎、雪豹、猎豹、猞猁、山猫、狞猫、豹猫、豹、薮猫
ANIMALS	DOG	ANMLDog	ANML	动物	狗	狗、猎犬、吠声、小狗、大狗、哈巴狗、杂种狗、巡回犬、 牧羊犬、 柯基、 柴犬
ANIMALS	DOG WILD	ANMLWdog	ANML	动物	犬科动物	狼、狐狸、土狼、豺狼、野狗、狼疮、 藏狐
ANIMALS	FARM	ANMLFarm	ANML	动物	养殖场	牛、绵羊、山羊、猪、牛、美洲驼、羊驼、 奶牛
ANIMALS	HORSE	ANMLHors	ANML	动物	马	驴、骡、驴、斑马
ANIMALS	INSECT	ANMLInsc	ANML	动物	昆虫	蚱蜢、蟋蟀、蝉、果蝇、蜜蜂、黄蜂、 蚂蜂、大黄蜂、螳螂、独角仙、蝗虫、甲虫、蟑螂
ANIMALS	MISC	ANMLMisc	ANML	动物	其它	其他种类的动物、 各种各样的
ANIMALS	PRIMATE	ANMLPrim	ANML	动物	灵长类	黑猩猩、猿、大猩猩、狐猴、卷尾猴、狨猴、猴子、长臂猿、倭黑猩猩、狒狒
ANIMALS	REPTILE	ANMLRept	ANML	动物	爬行动物	蛇、蜥蜴、鳄鱼、鳄鱼、龟、恒河鳄、凯门鳄、壁虎
ANIMALS	RODENT	ANMLRdnt	ANML	动物	啮齿动物	老鼠、 松鼠、 鼹鼠、 豪猪、 豚鼠、 花栗鼠、 海狸、 地鼠、 浣熊、 草原土拨鼠、 沙鼠、 仓鼠、 土拨鼠、 旅鼠、 麝鼠、 龙猫
ANIMALS	WILD	ANMLWild	ANML	动物	野生动物	熊、长颈鹿、河马、大象、麋鹿、鹿、斑羚、獾、食蚁兽、鸭嘴兽、树懒、金刚狼、野猪、袋熊、考拉、袋鼠、小袋鼠、角马、鬣狗、熊猫、羚羊、浣熊、麋鹿、驯鹿、犀牛、土豚、疣猪、黑斑羚、河马、蜜獾、水牛、驼鹿
ARCHIVED	ADR	ADR	ADR	归档	ADR	后期录音
ARCHIVED	ASSET	ASSET	ASSET	归档	资源	资产、资源、标签
ARCHIVED	BOUNCE	BNCE	BNCE	归档	导出	素材导出、多层素材合并
ARCHIVED	IMPULSE RESPONSE	IR	IR	归档	卷积混响素材	混响、IR、卷积混响、混响采样
ARCHIVED	LOOP GROUP	LPGRP	LPGRP	归档	循环群组	循环声音素材
ARCHIVED	MIX	MIX	MIX	归档	混音	预混、最终混音、M&E、混音、分轨
ARCHIVED	PFX	PFX	PFX	归档	现场音效	现场音效
ARCHIVED	PRODUCTION	PROD	PROD	归档	现场对白	对话、 台词
ARCHIVED	RAW	RAW	RAW	归档	原始素材	数据磁带、原始文件、未处理的素材
ARCHIVED	REFERENCE	REF	REF	归档	参考素材	参考、灵感
ARCHIVED	SCENE	SCNE	SCNE	归档	场景素材	素材、 设计的素材
ARCHIVED	TEST TONE	TEST	TEST	归档	测试音	adr 哔哔声、测试音、哔音、2pops、白噪声、粉红噪声、正弦波扫描、 信号
ARCHIVED	TRADEMARKED	TMARK	TMARK	归档	商标音	商标、版权、产品声音、许可、注册、合法、 标识
ARCHIVED	WORK IN PROGRESS	WIP	WIP	归档	过程中素材	工作进行中、未完成
ARCHIVED	WTF	WTF	WTF	归档	未确认素材	不可归类的、未知的
BEEPS	APPLIANCE	BEEPAppl	BEEP	提示音	电器	微波炉、洗碗机、洗衣机、烘干机
BEEPS	GENERAL	BEEP	BEEP	提示音	通用	嘟
BEEPS	LOFI	BEEPLofi	BEEP	提示音	低保真	电话音、电视音、广播
BEEPS	MEDICAL	BEEPMed	BEEP	提示音	医疗器械	心电图、KDC、心脏监护仪、超声波、医用
BEEPS	TIMER	BEEPTimer	BEEP	提示音	计时器	微波炉、烤箱定时器、数字手表、定时器
BEEPS	VEHICLE	BEEPVeh	BEEP	提示音	车辆	叉车蜂鸣、备用蜂鸣
BELLS	ANIMAL	BELLAnml	BELL	钟铃	动物	牛铃、狗铃、猫铃
BELLS	DOORBELL	BELLDoor	BELL	钟铃	门铃	门铃、叮咚
BELLS	GONG	BELLGong	BELL	钟铃	锣	锣、 铜钟
BELLS	HANDBELL	BELLHand	BELL	钟铃	手铃	手摇铃、晚餐铃、校铃、雪橇铃
BELLS	LARGE	BELLLrg	BELL	钟铃	大钟	寺庙钟、 教堂钟、 大钟、编钟
BELLS	MISC	BELLMisc	BELL	钟铃	其它	自行车铃、服务铃、呼叫铃
BIRDS	BIRD OF PREY	BIRDPrey	BIRD	鸟类	猛禽	鹰、猎鹰、猫头鹰、秃鹫、秃鹰、秃鹰、风筝、鱼鹰、鹞、红隼
BIRDS	CROW	BIRDCrow	BIRD	鸟类	乌鸦	乌鸦、喜鹊
BIRDS	FOWL	BIRDFowl	BIRD	鸟类	家禽	鸡、雉鸡、火鸡、鹅、松鸡、鸭、天鹅、鹧鸪、野鸭、绒鸭、鹌鹑、雷鸟
BIRDS	MISC	BIRDMisc	BIRD	鸟类	其它	杜鹃、 啄木鸟、 夜鹰、 蜂鸟
BIRDS	SEA	BIRDSea	BIRD	鸟类	海鸟	海鸥、 塘鹅、 信天翁、 鸬鹚、 鹈鹕、 企鹅、 海燕、 燕鸥、 军舰鸟、 鲣鸟、 鸻、 鹬、 海雀
BIRDS	SONGBIRD	BIRDSong	BIRD	鸟类	鸣鸟	鸽子、 知更鸟、 麻雀、 燕子、 唐纳雀、 画眉、  莺、 鹪鹩、 山雀、 云雀、 八哥、 黑鸟、鸫鸟、黑鸟
BIRDS	TROPICAL	BIRDTrop	BIRD	鸟类	热带	鹦鹉、 巨嘴鸟、 笑翠鸟、 琴鸟、 孔雀、 金刚鹦鹉、 犀鸟、 长尾小鹦鹉、 琵鹭、 火烈鸟
BIRDS	WADING	BIRDWade	BIRD	鸟类	水鸟	白鹭、火烈鸟、琵鹭、鹳、苍鹭、鹬
BOATS	AIR BOAT	BOATAir	BOAT	船舶	汽艇	风扇船、气垫船、气垫船、香蕉船、快艇
BOATS	BOW WASH	BOATWash	BOAT	船舶	船浪	波浪、 船浪、 船波
BOATS	DOOR	BOATDoor	BOAT	船舶	门	舱门、液压门
BOATS	ELECTRIC	BOATElec	BOAT	船舶	电动船	拖钓马达、电动马达
BOATS	FISHING	BOATFish	BOAT	船舶	捕鱼	捕蟹船、拖网渔船、围网船、线船、挖泥船、刺网船、研究船
BOATS	HORN	BOATHorn	BOAT	船舶	船笛	船喇叭、拖船喇叭、汽笛
BOATS	INTERIOR	BOATInt	BOAT	船舶	舱内	船、渡轮、渡轮、游轮、海军、军船、拖船、帆船、游艇、油轮、货船、货轮、潜艇
BOATS	MECHANISM	BOATMech	BOAT	船舶	机械	索具、滑轮、绳索、船轮、油门、网、笼、陷阱、锚
BOATS	MILITARY	BOATMil	BOAT	船舶	军用	巡逻艇、 驱逐舰、 巡洋舰、 战列巡洋舰、 护卫舰、 快速攻击船
BOATS	MISC	BOATMisc	BOAT	船舶	其它	桨船、桨板
BOATS	MOTORBOAT	BOATMotr	BOAT	船舶	摩托艇	小船、个人渔船、快艇、浮筒船、鸭子船、小艇
BOATS	RACING	BOATRace	BOAT	船舶	赛艇	水上飞机、水翼艇、喷射艇
BOATS	ROWBOAT	BOATRow	BOAT	船舶	划艇	手摇船、独木舟、划艇、皮划艇、桨、龙舟
BOATS	SAILBOAT	BOATSail	BOAT	船舶	帆船	帆船、 单桅帆船、 双桅船、风动船
BOATS	SHIP	BOATShip	BOAT	船舶	大船	大船、 游轮、 油轮、 货船、 货轮
BOATS	STEAM	BOATStm	BOAT	船舶	蒸汽船	蒸汽明轮船、明轮船、蒸汽机
BOATS	SUBMARINE	BOATSub	BOAT	船舶	潜艇	潜艇、声纳、海底、深海
BOATS	UNDERWATER	BOATUndwtr	BOAT	船舶	水下	水下录音、 水下
BULLETS	BY	BLLTBy	BLLT	子弹	飞过	子弹飞过、 子弹经过、 子弹擦过
BULLETS	IMPACT	BLLTImpt	BLLT	子弹	击中	子弹撞击、子弹击中、中弹
BULLETS	MISC	BLLTMisc	BLLT	子弹	其它	各种各样的
BULLETS	RICOCHET	BLLTRico	BLLT	子弹	弹跳	弹跳、 偏转、 弹出
BULLETS	SHELL	BLLTShel	BLLT	子弹	弹壳	弹壳、弹出
CARTOON	ANIMAL	TOONAnml	TOON	卡通	动物	可爱动物叫、 憨憨动物声
CARTOON	BOING	TOONBoing	TOON	卡通	弹簧音	卡通弹跳声
CARTOON	CLANG	TOONClang	TOON	卡通	咣当	叮当、金属、刀光、刀剑
CARTOON	CREAK	TOONCreak	TOON	卡通	嘎吱	橡胶、牛皮筋、硅胶
CARTOON	HORN	TOONHorn	TOON	卡通	号	灯泡喇叭、 喇叭、 小丑喇叭
CARTOON	IMPACT	TOONImpt	TOON	卡通	打击	duang
CARTOON	MACHINE	TOONMach	TOON	卡通	机器	卡通机器
CARTOON	MISC	TOONMisc	TOON	卡通	其它	搞笑、蠢、可爱
CARTOON	MUSICAL	TOONMx	TOON	卡通	音乐性	琶音、上升、下降、
CARTOON	PLUCK	TOONPluk	TOON	卡通	弹拨	拨弦
CARTOON	POP	TOONPop	TOON	卡通	道具	吸盘、泡泡爆破
CARTOON	SHAKE	TOONShake	TOON	卡通	摇晃	嘎嘎声
CARTOON	SPLAT	TOONSplt	TOON	卡通	啪嗒	卡通液体声
CARTOON	SQUEAK	TOONSqk	TOON	卡通	摩擦	吱
CARTOON	STRETCH	TOONStrch	TOON	卡通	伸缩	拉紧、拉伸
CARTOON	SWISH	TOONSwsh	TOON	卡通	嗖嗖	旋转、划过、闪白、过场
CARTOON	TWANG	TOONTwang	TOON	卡通	弹拨声	拨尺声、 弹尺声
CARTOON	VEHICLE	TOONVeh	TOON	卡通	载具	异型车、 特殊载具
CARTOON	VOCAL	TOONVox	TOON	卡通	语音	非人类叫声
CARTOON	WARBLE	TOONWarb	TOON	卡通	颤音	颤音
CARTOON	WHISTLE	TOONWhis	TOON	卡通	哨子	滑哨、哨音
CARTOON	ZIP	TOONZip	TOON	卡通	拉链	上拉、 下拉
CERAMICS	BREAK	CERMBrk	CERM	陶瓷	打破	打破、裂缝、粉碎、破坏
CERAMICS	CRASH & DEBRIS	CERMCrsh	CERM	陶瓷	碎片	坠落、碎片、碰撞
CERAMICS	FRICTION	CERMFric	CERM	陶瓷	挤压	压力、刮擦、吱吱声、吱吱声、尖叫声
CERAMICS	HANDLE	CERMHndl	CERM	陶瓷	抓取	触碰、 拿到、 抓取
CERAMICS	IMPACT	CERMImpt	CERM	陶瓷	打击	掉落、撞击、碰撞
CERAMICS	MISC	CERMMisc	CERM	陶瓷	其它	各种各样的
CERAMICS	MOVEMENT	CERMMvmt	CERM	陶瓷	移动	拖动、滚动、摇晃
CERAMICS	TONAL	CERMTonl	CERM	陶瓷	音乐性	纯音、 音色、 谐音
CHAINS	BREAK	CHAINBrk	CHAIN	链条	打破	折断、弯曲
CHAINS	HANDLE	CHAINHndl	CHAIN	链条	抓取	铁链、自行车链、锁链
CHAINS	IMPACT	CHAINImpt	CHAIN	链条	打中	跌落、撞击、猛击、张力断裂
CHAINS	MISC	CHAINMisc	CHAIN	链条	其它	各种各样的
CHAINS	MOVEMENT	CHAINMvmt	CHAIN	链条	移动	手铐、锁链
CHEMICALS	ACID	CHEMAcid	CHEM	化学	腐蚀	嘶嘶声、融化、法术、魔法
CHEMICALS	MISC	CHEMMisc	CHEM	化学	其它	各种各样的
CHEMICALS	REACTION	CHEMReac	CHEM	化学	反应	冒泡、起泡、反应
CLOCKS	CHIME	CLOCKChim	CLOCK	钟表	风铃	钟声、 树铃
CLOCKS	MECHANICS	CLOCKMech	CLOCK	钟表	机械	绕组、 时钟齿轮、 布谷鸟钟、轮轴
CLOCKS	MISC	CLOCKMisc	CLOCK	钟表	其它	各种各样的
CLOCKS	TICK	CLOCKTick	CLOCK	钟表	嘀嗒	滴答、点击、石英、滴答、秒表、鸡蛋计时器
CLOTH	FLAP	CLOTHFlp	CLOTH	布料	抖动	翅膀、襟翼、旗帜、沙沙声、降落伞、斗篷、帆布、帆、床单
CLOTH	HANDLE	CLOTHHndl	CLOTH	布料	抓取	拿衣服、 整理衣服
CLOTH	IMPACT	CLOTHImpt	CLOTH	布料	打击	抓衣服、 挠衣服
CLOTH	MISC	CLOTHMisc	CLOTH	布料	其它	各种各样的
CLOTH	MOVEMENT	CLOTHMvmt	CLOTH	布料	移动	嗖嗖、 沙沙声、 皱褶、 摩擦
CLOTH	RIP	CLOTHRip	CLOTH	布料	撕扯	撕裂、魔术贴
COMMUNICATIONS	AUDIO VISUAL	COMAv	COM	通讯	影视设备	电影摄影机、  胶片相机、 投影仪、 录音机、 磁带机、 随身听、 CD 播放器、 录像机、 播放器、 幻灯机、 ipod、DVD、VCD、蓝光机
COMMUNICATIONS	CAMERA	COMCam	COM	通讯	照相机	相机快门、对焦、闪光灯、柯达、尼康、佳能、奥林巴斯、柯达、富士、富士胶片、玛米亚、哈苏、徕卡
COMMUNICATIONS	CELLPHONE	COMCell	COM	通讯	手机	手机、 智能手机、 iphone、 黑莓手机、 翻盖手机、 安卓
COMMUNICATIONS	MICROPHONE	COMMic	COM	通讯	麦克风	麦克风啸叫、麦克风杂音、扩音器
COMMUNICATIONS	MISC	COMMisc	COM	通讯	其它	各种各样的
COMMUNICATIONS	PHONOGRAPH	COMPhono	COM	通讯	留声机	转盘、留声机、 黑胶唱片
COMMUNICATIONS	RADIO	COMRadio	COM	通讯	收音机	调谐、收音机、短波、白噪、信号、电台、通讯
COMMUNICATIONS	STATIC	COMStatic	COM	通讯	干扰	噪音
COMMUNICATIONS	TELEMETRY	COMTelm	COM	通讯	无线电	莫尔斯电码、电报、遥测、读数、sos
COMMUNICATIONS	TELEPHONE	COMTelph	COM	通讯	电话	拨号、公用电话、旋转拨号、键盘、座机、有线电话
COMMUNICATIONS	TELEVISION	COMTv	COM	通讯	电视机	电视、遥控器、拨号、节目、节目、futz
COMMUNICATIONS	TRANSCEIVER	COMTran	COM	通讯	信号收发机	对讲机、cb、业余无线电、收发器、静噪、对讲、调度
COMMUNICATIONS	TYPEWRITER	COMType	COM	通讯	打字机	打字机、电传打字机、回车、压板旋钮
COMPUTERS	HARD DRIVE	CMPTDriv	CMPT	电脑	硬盘	跳过、搜索、研磨、硬盘、硬盘
COMPUTERS	KEYBOARD & MOUSE	CMPTKey	CMPT	电脑	键鼠	键盘、鼠标、鼠标、触控板
COMPUTERS	MISC	CMPTMisc	CMPT	电脑	其它	掌上电脑、掌上电脑
CREATURES	AQUATIC	CREAAqua	CREA	生物	水生	海妖、美人鱼、巨型鱿鱼
CREATURES	AVIAN	CREAAvian	CREA	生物	奇幻禽类	外星鸟类、幻想的鸟类、奇幻鸟类
CREATURES	BEAST	CREABeast	CREA	生物	野兽	猛犸象、长毛象
CREATURES	BLOB	CREABlob	CREA	生物	黏体生物	变形怪体、粘稠状的生物
CREATURES	DINOSAUR	CREADino	CREA	生物	恐龙	雷龙、 迅猛龙、 三角龙、 剑龙、 暴龙、 异特龙、 棘龙、 腕龙、 始祖鸟、 翼龙、 翼手龙
CREATURES	DRAGON	CREADrgn	CREA	生物	龙	龙、德雷克、飞龙
CREATURES	ELEMENTAL	CREAElem	CREA	生物	精灵生物	岩石怪物、火怪物、冰怪物、岩石巨人、冰巨人、魔像
CREATURES	ETHEREAL	CREAEthr	CREA	生物	鬼魂	幽灵、鬼魂、空灵的人声、幻影
CREATURES	HUMANOID	CREAHmn	CREA	生物	类人动物	僵尸、亡灵、活死人、食尸鬼、吸血鬼、精灵、兽人、食人魔、巨魔、天狗、妖精、大脚怪、沼泽物、狼人、科学怪人、木乃伊
CREATURES	INSECTOID	CREAInsc	CREA	生物	巨型昆虫	巨型蚂蚁、巨型蜘蛛
CREATURES	MISC	CREAMisc	CREA	生物	其它	不符合列表中分类的其他生物
CREATURES	MONSTER	CREAMnstr	CREA	生物	怪兽	哥斯拉、 金刚、 庞然大物、 异形
CREATURES	REPTILIAN	CREARept	CREA	生物	巨型爬行生物	巨蜥、 巨蛇、 嘶声怪
CREATURES	SMALL	CREASmall	CREA	生物	小型神话生物	仙女、小精灵、类啮齿类的小生物
CREATURES	SOURCE	CREASrce	CREA	生物	人声包	吠声、呼吸声、呼叫、鸣叫、叽叽喳喳、咔嗒声、哭泣、咕噜声、嘶嘶声、嚎叫声、咆哮声、喉音、呻吟声、用口型默示、咆哮声、尖叫声、长声尖叫、呜呜声
CROWDS	ANGRY	CRWDAngr	CRWD	人群	愤怒	骚乱、暴动、抗议、校园暴力
CROWDS	APPLAUSE	CRWDApls	CRWD	人群	喝彩	掌声、欢呼、鼓掌
CROWDS	BATTLE	CRWDBatl	CRWD	人群	打斗	战斗呐喊、喊叫、冲锋、集结、军队、战斗、混战、战争、尖叫、死亡
CROWDS	CELEBRATION	CRWDCele	CRWD	人群	庆祝	庆祝、节日、派对、喧闹、生日、新年、圣诞节、游行
CROWDS	CHEERING	CRWDCheer	CRWD	人群	欢呼	欢呼、音乐会、体育场、观众、欢呼、声浪、颂歌
CROWDS	CHILDREN	CRWDChld	CRWD	人群	儿童	操场、课间休息、孩子们玩耍、公园、玩游戏、捉人游戏
